"filename", "language", "Dart", "comment", "blank", "total"
"d:\Codes\Test\Flutter\qvise\lib\core\application\sync_coordinator.dart", "Dart", 71, 4, 12, 87
"d:\Codes\Test\Flutter\qvise\lib\core\application\sync_state.dart", "Dart", 14, 1, 4, 19
"d:\Codes\Test\Flutter\qvise\lib\core\data\database\app_database.dart", "Dart", 179, 5, 22, 206
"d:\Codes\Test\Flutter\qvise\lib\core\data\datasources\transactional_data_source.dart", "Dart", 14, 1, 5, 20
"d:\Codes\Test\Flutter\qvise\lib\core\data\migrations\add_sync_fields_migration.dart", "Dart", 23, 1, 5, 29
"d:\Codes\Test\Flutter\qvise\lib\core\data\migrations\database_migration.dart", "Dart", 51, 3, 11, 65
"d:\Codes\Test\Flutter\qvise\lib\core\data\providers\data_providers.dart", "Dart", 33, 4, 7, 44
"d:\Codes\Test\Flutter\qvise\lib\core\data\repositories\base_repository.dart", "Dart", 11, 3, 2, 16
"d:\Codes\Test\Flutter\qvise\lib\core\data\unit_of_work.dart", "Dart", 41, 3, 6, 50
"d:\Codes\Test\Flutter\qvise\lib\core\error\app_failure.dart", "Dart", 93, 2, 11, 106
"d:\Codes\Test\Flutter\qvise\lib\core\error\failures.dart", "Dart", 1, 2, 1, 4
"d:\Codes\Test\Flutter\qvise\lib\core\providers\network_status_provider.dart", "Dart", 66, 1, 15, 82
"d:\Codes\Test\Flutter\qvise\lib\core\providers\providers.dart", "Dart", 145, 7, 25, 177
"d:\Codes\Test\Flutter\qvise\lib\core\routes\app_router.dart", "Dart", 298, 1, 22, 321
"d:\Codes\Test\Flutter\qvise\lib\core\routes\route_guard.dart", "Dart", 83, 31, 26, 140
"d:\Codes\Test\Flutter\qvise\lib\core\routes\route_names.dart", "Dart", 14, 6, 5, 25
"d:\Codes\Test\Flutter\qvise\lib\core\services\file_picker_service.dart", "Dart", 63, 2, 4, 69
"d:\Codes\Test\Flutter\qvise\lib\core\services\subscription_service.dart", "Dart", 24, 4, 6, 34
"d:\Codes\Test\Flutter\qvise\lib\core\services\user_service.dart", "Dart", 22, 1, 5, 28
"d:\Codes\Test\Flutter\qvise\lib\core\shell and tabs\analytics_tab.dart", "Dart", 109, 1, 3, 113
"d:\Codes\Test\Flutter\qvise\lib\core\shell and tabs\browse_tab.dart", "Dart", 526, 6, 23, 555
"d:\Codes\Test\Flutter\qvise\lib\core\shell and tabs\create_tab.dart", "Dart", 187, 1, 12, 200
"d:\Codes\Test\Flutter\qvise\lib\core\shell and tabs\home_tab.dart", "Dart", 203, 3, 10, 216
"d:\Codes\Test\Flutter\qvise\lib\core\shell and tabs\main_shell_screen.dart", "Dart", 144, 1, 14, 159
"d:\Codes\Test\Flutter\qvise\lib\core\shell and tabs\profile_tab.dart", "Dart", 362, 9, 17, 388
"d:\Codes\Test\Flutter\qvise\lib\core\sync\data\datasources\conflict_local_datasource.dart", "Dart", 117, 1, 12, 130
"d:\Codes\Test\Flutter\qvise\lib\core\sync\domain\entities\sync_conflict.dart", "Dart", 32, 1, 5, 38
"d:\Codes\Test\Flutter\qvise\lib\core\sync\domain\entities\sync_report.dart", "Dart", 42, 1, 7, 50
"d:\Codes\Test\Flutter\qvise\lib\core\sync\services\conflict_resolver.dart", "Dart", 109, 11, 20, 140
"d:\Codes\Test\Flutter\qvise\lib\core\sync\services\remote_entity_cache.dart", "Dart", 32, 1, 8, 41
"d:\Codes\Test\Flutter\qvise\lib\core\sync\services\sync_performance_monitor.dart", "Dart", 33, 1, 5, 39
"d:\Codes\Test\Flutter\qvise\lib\core\sync\services\sync_service.dart", "Dart", 342, 8, 41, 391
"d:\Codes\Test\Flutter\qvise\lib\core\sync\utils\batch_helpers.dart", "Dart", 30, 1, 5, 36
"d:\Codes\Test\Flutter\qvise\lib\core\theme\app_colors.dart", "Dart", 98, 13, 27, 138
"d:\Codes\Test\Flutter\qvise\lib\core\theme\app_spacing.dart", "Dart", 109, 13, 18, 140
"d:\Codes\Test\Flutter\qvise\lib\core\theme\app_theme.dart", "Dart", 387, 30, 32, 449
"d:\Codes\Test\Flutter\qvise\lib\core\theme\app_typography.dart", "Dart", 200, 12, 28, 240
"d:\Codes\Test\Flutter\qvise\lib\core\theme\theme_extensions.dart", "Dart", 316, 19, 41, 376
"d:\Codes\Test\Flutter\qvise\lib\core\theme\theme_mode_provider.dart", "Dart", 260, 38, 37, 335
"d:\Codes\Test\Flutter\qvise\lib\core\utils\password_validator.dart", "Dart", 67, 3, 20, 90
"d:\Codes\Test\Flutter\qvise\lib\core\widgets\error_boundary.dart", "Dart", 239, 15, 29, 283
"d:\Codes\Test\Flutter\qvise\lib\features\auth\data\datasources\auth_local_data_source.dart", "Dart", 55, 0, 10, 65
"d:\Codes\Test\Flutter\qvise\lib\features\auth\data\datasources\auth_remote_data_source.dart", "Dart", 169, 7, 25, 201
"d:\Codes\Test\Flutter\qvise\lib\features\auth\data\models\user_model.dart", "Dart", 48, 2, 7, 57
