"filename", "language", "Dart", "comment", "blank", "total"
"d:\Codes\Test\Flutter\qvise\lib\core\data\database\app_database.dart", "Dart", 28, -2, 2, 28
"d:\Codes\Test\Flutter\qvise\lib\core\data\providers\data_providers.dart", "Dart", 6, 1, 1, 8
"d:\Codes\Test\Flutter\qvise\lib\core\data\unit_of_work.dart", "Dart", 7, 0, -1, 6
"d:\Codes\Test\Flutter\qvise\lib\core\providers\providers.dart", "Dart", 2, 0, 0, 2
"d:\Codes\Test\Flutter\qvise\lib\core\sync\services\sync_service.dart", "Dart", 98, 1, 13, 112
"d:\Codes\Test\Flutter\qvise\lib\core\sync\utils\batch_helpers.dart", "Dart", -1, 0, 1, 0
"d:\Codes\Test\Flutter\qvise\lib\features\content\data\datasources\content_remote_data_source.dart", "Dart", -1, 1, -1, -1
"d:\Codes\Test\Flutter\qvise\lib\features\content\data\repositories\content_repository_impl.dart", "Dart", 21, 2, 15, 38
"d:\Codes\Test\Flutter\qvise\lib\features\content\domain\usecases\lock_lesson.dart", "Dart", 11, 1, 4, 16
"d:\Codes\Test\Flutter\qvise\lib\features\content\presentation\providers\content_providers.dart", "Dart", 5, 1, 1, 7
"d:\Codes\Test\Flutter\qvise\lib\features\content\presentation\screens\lesson_screen.dart", "Dart", -219, -17, -13, -249
"d:\Codes\Test\Flutter\qvise\lib\features\files\data\datasources\file_local_data_source.dart", "Dart", 0, 1, 0, 1
"d:\Codes\Test\Flutter\qvise\lib\features\notes\data\datasources\note_local_data_source.dart", "Dart", 144, 1, 18, 163
"d:\Codes\Test\Flutter\qvise\lib\features\notes\data\datasources\note_remote_data_source.dart", "Dart", 115, 3, 27, 145
"d:\Codes\Test\Flutter\qvise\lib\features\notes\data\models\note_model.dart", "Dart", 74, 2, 9, 85
"d:\Codes\Test\Flutter\qvise\lib\features\notes\data\repositories\note_repository_impl.dart", "Dart", 87, 14, 21, 122
"d:\Codes\Test\Flutter\qvise\lib\features\notes\domain\entities\note.dart", "Dart", 31, 2, 8, 41
"d:\Codes\Test\Flutter\qvise\lib\features\notes\domain\repositories\note_repository.dart", "Dart", 13, 1, 2, 16
"d:\Codes\Test\Flutter\qvise\lib\features\notes\domain\usecases\create_note.dart", "Dart", 48, 5, 9, 62
"d:\Codes\Test\Flutter\qvise\lib\features\notes\domain\usecases\delete_note.dart", "Dart", 45, 5, 9, 59
"d:\Codes\Test\Flutter\qvise\lib\features\notes\domain\usecases\get_notes_by_lesson.dart", "Dart", 35, 4, 7, 46
"d:\Codes\Test\Flutter\qvise\lib\features\notes\domain\usecases\update_note.dart", "Dart", 62, 7, 11, 80
"d:\Codes\Test\Flutter\qvise\lib\features\notes\presentation\providers\note_providers.dart", "Dart", 75, 5, 12, 92
"d:\Codes\Test\Flutter\qvise\lib\features\notes\presentation\screens\note_editor_screen.dart", "Dart", 282, 5, 27, 314
"d:\Codes\Test\Flutter\qvise\lib\features\notes\presentation\widgets\note_card_widget.dart", "Dart", 149, 8, 12, 169
"d:\Codes\Test\Flutter\qvise\lib\features\notes\presentation\widgets\note_list_widget.dart", "Dart", 180, 5, 16, 201
"d:\Codes\Test\Flutter\qvise\lib\features\notes\presentation\widgets\note_quick_add_widget.dart", "Dart", 171, 6, 17, 194
"Total", "-", 1468, 62, 227, 1757
